Date,Open,High,Low,Close,Adj Close,Volume
2012-08-07,88.96714,89.285713,88.291428,620.910034,88.701431,72611700
2012-08-08,88.484283,89.125717,88.157143,619.859985,88.55143,61176500
2012-08-09,88.264282,88.818573,88.257141,620.72998,88.675713,55410600
2012-08-10,88.387146,88.822861,88.385712,621.700012,88.814285,48734700
2012-08-13,89.055717,90,89.035713,630,90,69708100
2012-08-14,90.267143,91.230003,90.029999,631.690002,90.241432,85042300
2012-08-15,90.185715,90.571426,89.678574,630.829956,90.118568,64335600
2012-08-16,90.172859,90.965714,90.071426,636.340027,90.905716,63633500
2012-08-17,91.428574,92.598572,91.258568,648.109985,92.587143,110690300
2012-08-20,92.858574,95.021431,92.842857,665.150024,95.021431,153346200
2012-08-21,95.831429,96.41143,92.904289,656.059998,93.722855,203179900
2012-08-22,93.488571,95.571426,92.587143,668.869995,95.552856,141330700
2012-08-23,95.158569,95.699997,94.449997,662.630005,94.66143,105032200
2012-08-24,94.215714,95.639999,93.650002,663.219971,94.745712,109335100
2012-08-27,97.141426,97.267143,96.220001,675.679993,96.525711,106752100
2012-08-28,96.425713,96.585716,95.809998,674.799988,96.400002,66854200
2012-08-29,96.464287,96.809998,96.085716,673.469971,96.209999,50701700
2012-08-30,95.805717,95.935715,94.692856,663.869995,94.83857,75674900
2012-08-31,95.321426,95.514282,93.89286,665.23999,95.034286,84580300
2012-09-04,95.108574,96.44857,94.928574,674.969971,96.424286,91973000
2012-09-05,96.510002,96.621429,95.657143,670.230042,95.747147,84093800
2012-09-06,96.167145,96.898575,95.828575,676.27002,96.610001,97799100
2012-09-07,96.864288,97.497147,96.538574,680.440002,97.205711,82416600
2012-09-10,97.207146,97.612854,94.585716,662.73999,94.677139,121999500
2012-09-11,95.015717,95.728569,93.785713,660.590027,94.370003,125995800
2012-09-12,95.264282,95.699997,93.714287,669.790039,95.684288,178058300
2012-09-13,96.767143,97.928574,96.395714,682.97998,97.568573,149590000
2012-09-14,98.565712,99.568573,98.269997,691.280029,98.754288,150118500
